,Cost,State,Income,NRI for flooding
Flathead,"1,697",Montana,"63,096",2110301
Gallatin,"1,697",Montana,"80,909",598174.6
Garfield,"1,697",Montana,"43,776",63194.01
Glacier,"1,697",Montana,"44,512",174579.9
GoldenValley,"1,697",Montana,"56,055",36154.04
Granite,"1,697",Montana,"56,476",36562.08
Hill,"1,697",Montana,"54,495",113898
Jefferson,"1,697",Montana,"60,333",52869.13
JudithBasin,"1,697",Montana,"53,576",0
Lake,"1,697",Montana,"47,554",133537.7
LewisandClark,"1,697",Montana,"59,484",774839.6
Liberty,"1,697",Montana,"73,510",17862.65
Lincoln,"1,697",Montana,"44,876",213476.8
Madison,"1,697",Montana,"52,988",52330.91
McCone,"1,697",Montana,"72,380",146111
Meagher,"1,697",Montana,"49,399",15879.51
Mineral,"1,697",Montana,"46,543",330308.7
Missoula,"1,697",Montana,"63,790",252211
Musselshell,"1,697",Montana,"49,454",918522.4
Park,"1,697",Montana,"63,173",110963.4
Petroleum,"1,697",Montana,"34,027",21495.57
Phillips,"1,697",Montana,"44,965",449257.6
Pondera,"1,697",Montana,"60,715",39478.19
PowderRiver,"1,697",Montana,"40,797",139257.6
Powell,"1,697",Montana,"50,197",113893.9
Prairie,"1,697",Montana,"52,839",35512.21
Ravalli,"1,697",Montana,"60,302",282709.1
Richland,"1,697",Montana,"64,385",338236.3
Roosevelt,"1,697",Montana,"43,738",1034240
Rosebud,"1,697",Montana,"52,824",16507.04
Sanders,"1,697",Montana,"44,425",227385.5
Sheridan,"1,697",Montana,"52,985",130512.3
SilverBow,"1,697",Montana,"56,562",50038.41
Stillwater,"1,697",Montana,"68,196",379911.7
SweetGrass,"1,697",Montana,"59,382",457449
Teton,"1,697",Montana,"60,197",129092.7
Toole,"1,697",Montana,"59,651",28193.99
Treasure,"1,697",Montana,"51,553",321904.4
Valley,"1,697",Montana,"59,582",1987981
Wheatland,"1,697",Montana,"46,650",613860.4
Wibaux,"1,697",Montana,"46,540",57877.56
Yellowstone,"1,697",Montana,"63,518",1195829
Albany,"1,446",New York,"73,125",828048.7
Allegany,"1,176",New York,"41,297",2055546
Bronx,"3,827",New York,"40,691",21671338
Broome,887,New York,"48,826",17016768
Cattaraugus,"1,271",New York,"45,575",5204990
Cayuga,"1,802",New York,"51,714",207117.1
Chautauqua,"1,169",New York,"46,279",4324964
Chemung,"1,306",New York,"51,630",2864733
Chenango,"1,647",New York,"49,288",10017031
Clinton,"1,277",New York,"51,133",1781984
Columbia,"1,360",New York,"69,187",1384371
Cortland,"1,491",New York,"47,648",2775416
Delaware,"1,503",New York,"45,900",20543685
Dutchess,"1,466",New York,"68,474",1542998
Erie,"1,096",New York,"57,450",6679873
Essex,"1,262",New York,"53,558",4101087
Franklin,"1,337",New York,"49,239",1002988
Fulton,"1,472",New York,"50,202",357047.4
Genesee,"1,202",New York,"49,259",301089.8
Greene,"1,403",New York,"56,271",2801199
Hamilton,"1,394",New York,"54,185",380799.6
Herkimer,"1,793",New York,"49,344",1810521
Jefferson,"1,682",New York,"51,749",949716.7
Kings,"2,593",New York,"60,153",21394847
Lewis,"1,507",New York,"53,952",384782.1
Livingston,"1,354",New York,"50,267",1565574
Madison,"1,882",New York,"55,924",1961051
Monroe,"1,431",New York,"59,354",2127995
Montgomery,"1,457",New York,"46,909",1437454
Nassau,"2,410",New York,"99,864",20443331
New York,"2,594",New York,"186,848",7019574
Niagara,"1,835",New York,"51,747",935554.8
Oneida,"1,885",New York,"51,637",6687146
Onondaga,"1,885",New York,"60,414",2126761
Ontario,"1,207",New York,"61,885",1172438
Orange,"2,917",New York,"58,136",3805099
Orleans,"1,392",New York,"45,392",54460.73
Oswego,"1,885",New York,"47,279",224252.5
Otsego,"1,531",New York,"49,618",3827815
Putnam,"2,615",New York,"80,309",184384.9
Queens,"2,072",New York,"54,261",5768903
Rensselaer,"1,101",New York,"55,976",3865589
Richmond,"2,572",New York,"62,469",17529135
Rockland,"2,779",New York,"67,860",525779.3
Saratoga,"1,080",New York,"44,328",1129179
Schenectady,"2,039",New York,"74,991",2460681
Schoharie,"1,606",New York,"57,198",915192.9
Schuyler,"1,364",New York,"49,517",3118487
Seneca,"1,596",New York,"48,843",747255.2
St.Lawrence,"1,345",New York,"46,607",112131.5
Steuben,"1,278",New York,"54,247",5817817
Suffolk,"2,556",New York,"84,201",13532112
Sullivan,"2,865",New York,"54,451",12485466
Tioga,"1,026",New York,"50,825",12492704
Tompkins,"1,367",New York,"51,169",1876767
Ulster,"1,546",New York,"62,270",3636748
Warren,"1,197",New York,"60,743",1529023
Washington,"1,292",New York,"47,673",1166969
Wayne,"1,788",New York,"53,837",358710.4
Westchester,"3,132",New York,"124,029",1094461
Wyoming,"1,146",New York,"50,254",1068867
Yates,"1,513",New York,"49,358",1635580
Adams,"3,051",North Dakota,"58,789",961.7199
Barnes,"3,051",North Dakota,"75,766",126955.8
Benson,"3,051",North Dakota,"68,554",445761.4
Billings,"3,051",North Dakota,"83,059",9723.445
Bottineau,"3,051",North Dakota,"89,879",54525.25
Bowman,"3,051",North Dakota,"75,059",4598.846
Burke,"3,051",North Dakota,"102,647",4815.77
Burleigh,"3,051",North Dakota,"71,483",2041354
Cass,"3,051",North Dakota,"69,087",12476384
Cavalier,"3,051",North Dakota,"135,571",173444.7
Dickey,"3,051",North Dakota,"92,959",12.56415
Divide,"3,051",North Dakota,"73,799",0
Dunn,"3,051",North Dakota,"91,714",134590.7
Eddy,"3,051",North Dakota,"90,322",45899.53
Emmons,"3,051",North Dakota,"93,990",50683.94
Foster,"3,051",North Dakota,"91,480",32384.88
GoldenValley,"3,051",North Dakota,"56,952",33585.19
GrandForks,"3,051",North Dakota,"61,124",10166562
Grant,"3,051",North Dakota,"64,280",0.063566
Griggs,"3,051",North Dakota,"93,926",21376.31
Hettinger,"3,051",North Dakota,"67,417",45883.6
Kidder,"3,051",North Dakota,"83,562",0
LaMoure,"3,051",North Dakota,"94,822",49255.22
Logan,"3,051",North Dakota,"85,398",2552.047
McHenry,"3,051",North Dakota,"78,346",685746.3
McIntosh,"3,051",North Dakota,"89,939",187.2058
McKenzie,"3,051",North Dakota,"76,046",408513.6
McLean,"3,051",North Dakota,"81,193",153601.4
Mercer,"3,051",North Dakota,"66,227",62576.05
Morton,"3,051",North Dakota,"60,819",1397743
Mountrail,"3,051",North Dakota,"81,073",28486.39
Nelson,"3,051",North Dakota,"92,263",46857.81
Oliver,"3,051",North Dakota,"62,844",21079.62
Pembina,"3,051",North Dakota,"87,939",1832626
Pierce,"3,051",North Dakota,"74,616",1014.856
Ramsey,"3,051",North Dakota,"68,308",1853024
Ransom,"3,051",North Dakota,"74,480",101053.6
Renville,"3,051",North Dakota,"113,541",118006.4
Richland,"3,051",North Dakota,"65,952",10757654
Rolette,"3,051",North Dakota,"56,996",68014.73
Sargent,"3,051",North Dakota,"93,105",12.29624
Sheridan,"3,051",North Dakota,"99,263",0
Sioux,"3,051",North Dakota,"38,785",77022.32
Slope,"3,051",North Dakota,"57,137",114.5856
Stark,"3,051",North Dakota,"67,057",127531.1
Steele,"3,051",North Dakota,"115,546",0.418089
Stutsman,"3,051",North Dakota,"67,944",134189.9
Towner,"3,051",North Dakota,"119,550",1080.261
Traill,"3,051",North Dakota,"75,372",723704.6
Walsh,"3,051",North Dakota,"75,957",1305105
Ward,"3,051",North Dakota,"62,577",2162925
Wells,"3,051",North Dakota,"109,412",35555.14
Williams,"3,051",North Dakota,"69,096",57071.33
Adams,"1,457",Ohio,"43,431",3656528
Allen,"3,095",Ohio,"50,195",159269.8
Ashland,"1,846",Ohio,"47,118",1156333
Ashtabula,"3,640",Ohio,"46,316",1051625
Athens,"2,056",Ohio,"41,866",2346426
Auglaize,"1,425",Ohio,"55,857",249028.1
Belmont,"1,734",Ohio,"46,658",4624101
Brown,"1,203",Ohio,"45,846",2661763
Butler,"1,436",Ohio,"55,897",689434.2
Carroll,"1,931",Ohio,"47,394",489773.3
Champaign,"2,079",Ohio,"48,873",533574
Clark,"3,078",Ohio,"47,151",406101.9
Clermont,"2,006",Ohio,"62,495",1822969
Clinton,"1,482",Ohio,"49,985",346318.9
Columbiana,"1,806",Ohio,"45,189",1036748
Coshocton,"1,830",Ohio,"42,239",2118263
Crawford,"2,665",Ohio,"46,572",553297.5
Cuyahoga,"1,550",Ohio,"63,448",5818042
Darke,"1,497",Ohio,"52,673",1255408
Defiance,"2,843",Ohio,"47,310",70135.17
Delaware,"1,658",Ohio,"88,871",243734.2
Erie,"1,730",Ohio,"58,855",3213208
Fairfield,"2,041",Ohio,"55,015",865873.4
Fayette,"2,068",Ohio,"47,012",199850.1
Franklin,"1,602",Ohio,"59,473",9716524
Fulton,"2,246",Ohio,"52,808",127028.2
Gallia,"2,145",Ohio,"46,079",990821.5
Geauga,"1,593",Ohio,"83,249",242348.9
Greene,"1,462",Ohio,"61,013",553436.3
Guernsey,"1,744",Ohio,"47,686",1389098
Hamilton,"1,772",Ohio,"71,767",3307023
Hancock,"2,704",Ohio,"56,761",4129313
Hardin,"2,353",Ohio,"39,938",151853.6
Harrison,"1,792",Ohio,"46,168",233678.2
Henry,"1,605",Ohio,"52,388",46356.77
Highland,"1,974",Ohio,"44,035",171329
Hocking,"1,987",Ohio,"45,472",1357931
Holmes,"1,779",Ohio,"56,133",2208118
Huron,"2,058",Ohio,"47,635",776578.9
Jackson,"2,065",Ohio,"41,084",1546617
Jefferson,"1,882",Ohio,"45,490",2421040
Knox,"1,754",Ohio,"51,107",1354495
Lake,"1,726",Ohio,"59,749",1992929
Lawrence,"1,874",Ohio,"47,449",2095470
Licking,"1,673",Ohio,"55,665",2181804
Logan,"1,979",Ohio,"48,607",816246.2
Lorain,"1,560",Ohio,"55,441",2287758
Lucas,"1,090",Ohio,"53,428",3820875
Madison,"1,868",Ohio,"52,295",141805.5
Mahoning,886,Ohio,"51,765",1943175
Marion,"1,726",Ohio,"42,382",593211.2
Medina,"2,289",Ohio,"65,702",1428174
Meigs,"2,554",Ohio,"42,061",2208468
Mercer,"1,616",Ohio,"61,832",2490385
Miami,"1,236",Ohio,"56,078",577853.8
Monroe,"1,738",Ohio,"42,173",1321232
Montgomery,"1,200",Ohio,"55,114",2645433
Morgan,"1,912",Ohio,"43,106",882334.7
Morrow,"1,665",Ohio,"47,698",373751.9
Muskingum,"1,759",Ohio,"49,192",1581729
Noble,"1,755",Ohio,"31,123",1382533
Ottawa,"2,008",Ohio,"62,480",1059384
Paulding,"2,625",Ohio,"48,624",1.156618
Perry,"1,729",Ohio,"45,943",952010.3
Pickaway,"1,764",Ohio,"50,895",829607
Pike,"2,023",Ohio,"46,346",1640518
Portage,"1,627",Ohio,"53,419",1026698
Preble,"1,251",Ohio,"48,644",213567.4
Putnam,"2,264",Ohio,"59,510",204645.1
Richland,"1,810",Ohio,"44,998",3539450
Ross,"2,929",Ohio,"44,711",1372736
Sandusky,"2,263",Ohio,"48,557",892186.5
Scioto,"1,603",Ohio,"46,319",4203717
Seneca,"5,006",Ohio,"47,563",435864.8
Shelby,"2,086",Ohio,"51,955",648210
Stark,"2,593",Ohio,"53,588",6208710
Summit,"1,277",Ohio,"62,207",7612586
Trumbull,"1,195",Ohio,"45,564",8967646
Tuscarawas,"1,708",Ohio,"51,879",2286771
Union,"1,278",Ohio,"69,498",473179.1
VanWert,"2,468",Ohio,"49,563",13101.14
Vinton,"1,687",Ohio,"40,536",427910.3
Warren,"1,324",Ohio,"73,592",994690.1
Washington,"2,066",Ohio,"51,016",4150825
Wayne,"1,748",Ohio,"53,174",1016489
Williams,"2,843",Ohio,"48,999",226422.6
Wood,"1,711",Ohio,"56,011",463730.4
Wyandot,"3,822",Ohio,"55,488",202231.9
Adams,"1,496",Pennsylvania,"55,597",190699.1
Allegheny,"1,469",Pennsylvania,"70,837",2376284
Armstrong,"1,371",Pennsylvania,"54,352",439474.4
Beaver,"1,336",Pennsylvania,"54,812",4489640
Bedford,"1,045",Pennsylvania,"49,468",833161.5
Berks,"2,265",Pennsylvania,"58,199",4266337
Blair,"1,286",Pennsylvania,"55,101",981167
Bradford,"1,303",Pennsylvania,"48,206",10028990
Bucks,"2,771",Pennsylvania,"86,770",12555408
Butler,"1,342",Pennsylvania,"69,129",1662743
Cambria,"1,317",Pennsylvania,"47,971",856271.9
Cameron,"1,337",Pennsylvania,"50,557",61323.26
Carbon,"1,155",Pennsylvania,"58,626",1147886
Centre,"1,321",Pennsylvania,"54,686",737556.8
Chester,"2,421",Pennsylvania,"101,051",2234745
Clarion,"1,355",Pennsylvania,"46,458",699782.7
Clearfield,"1,336",Pennsylvania,"52,265",861461.9
Clinton,"1,327",Pennsylvania,"45,878",748395.8
Columbia,"1,350",Pennsylvania,"49,854",1701799
Crawford,996,Pennsylvania,"47,732",8399205
Cumberland,"1,434",Pennsylvania,"65,105",991324.7
Dauphin,"1,179",Pennsylvania,"57,717",23543122
Delaware,"1,743",Pennsylvania,"78,228",5095223
Elk,"1,337",Pennsylvania,"50,208",71512.95
Erie,"1,132",Pennsylvania,"51,396",2337124
Fayette,988,Pennsylvania,"48,259",2140279
Forest,"1,348",Pennsylvania,"28,009",27617.89
Franklin,"1,257",Pennsylvania,"55,212",1092357
Fulton,"1,045",Pennsylvania,"48,013",30361.53
Greene,854,Pennsylvania,"49,645",1403272
Huntingdon,"1,289",Pennsylvania,"45,049",508086.2
Indiana,"1,337",Pennsylvania,"45,599",1054630
Jefferson,"1,348",Pennsylvania,"47,629",3157500
Juniata,"1,286",Pennsylvania,"56,651",568076.4
Lackawanna,"1,741",Pennsylvania,"54,607",10702238
Lancaster,"1,514",Pennsylvania,"63,044",3372462
Lawrence,"1,131",Pennsylvania,"50,674",606814.1
Lebanon,"1,518",Pennsylvania,"56,207",673625.8
Lehigh,"1,210",Pennsylvania,"62,879",2029668
Luzerne,"1,439",Pennsylvania,"50,618",17776242
Lycoming,"1,311",Pennsylvania,"49,869",5455370
McKean,"1,260",Pennsylvania,"48,797",2848584
Mercer,909,Pennsylvania,"47,857",410346.4
Mifflin,"1,275",Pennsylvania,"46,121",528820
Monroe,"1,504",Pennsylvania,"52,643",9663202
Montgomery,"1,570",Pennsylvania,"93,666",12027333
Montour,"1,361",Pennsylvania,"66,122",109298.5
Northampton,"1,411",Pennsylvania,"63,828",5524746
Northumberland,"1,313",Pennsylvania,"47,650",764321.3
Perry,"1,333",Pennsylvania,"54,026",412057.7
Philadelphia,"1,614",Pennsylvania,"56,764",7558623
Pike,"1,890",Pennsylvania,"57,038",1289183
Potter,"1,303",Pennsylvania,"48,379",213225.7
Schuylkill,"1,502",Pennsylvania,"48,634",626983.4
Snyder,"1,302",Pennsylvania,"51,750",537033.5
Somerset,"1,026",Pennsylvania,"47,622",698810.3
Sullivan,"1,307",Pennsylvania,"56,066",592194.9
Susquehanna,"1,710",Pennsylvania,"58,898",4319118
Tioga,"1,303",Pennsylvania,"45,977",824578.5
Union,"1,316",Pennsylvania,"51,089",1595530
Venango,"1,233",Pennsylvania,"48,663",4011978
Warren,"1,153",Pennsylvania,"49,117",2436224
Washington,786,Pennsylvania,"66,276",1532973
Wayne,"1,774",Pennsylvania,"53,076",3971324
Westmoreland,"1,206",Pennsylvania,"59,493",4881304
Wyoming,"1,631",Pennsylvania,"54,361",3644279
York,"1,729",Pennsylvania,"57,321",1269476
Adams,"1,499",Wisconsin,"44,696",382161.4
Ashland,"1,193",Wisconsin,"46,014",49261.46
Barron,"1,355",Wisconsin,"58,029",58515.72
Bayfield,"1,193",Wisconsin,"52,963",229872.4
Brown,"1,457",Wisconsin,"62,519",1985508
Buffalo,"1,506",Wisconsin,"55,319",340322.5
Burnett,"1,317",Wisconsin,"48,081",28483.23
Calumet,"1,276",Wisconsin,"58,999",395961.2
Chippewa,"1,323",Wisconsin,"54,474",262690.7
Clark,"1,087",Wisconsin,"51,365",320364.3
Columbia,"1,501",Wisconsin,"61,542",1221001
Crawford,"1,525",Wisconsin,"50,741",6781382
Dane,"1,496",Wisconsin,"73,726",3658042
Dodge,"1,741",Wisconsin,"52,398",755408.4
Door,"1,517",Wisconsin,"71,130",22256.26
Douglas,"1,193",Wisconsin,"49,469",397233.1
Dunn,"1,482",Wisconsin,"49,324",144046.2
EauClaire,"1,449",Wisconsin,"57,320",1390376
Florence,"1,486",Wisconsin,"62,285",29360.84
FondduLac,"1,428",Wisconsin,"58,204",1368752
Forest,"1,441",Wisconsin,"45,248",18588.87
Grant,"1,525",Wisconsin,"52,264",2215791
Green,"1,664",Wisconsin,"61,416",624436.8
GreenLake,"1,530",Wisconsin,"51,819",91309.73
Iowa,"1,502",Wisconsin,"58,797",144730.4
Iron,"1,217",Wisconsin,"53,626",223063.5
Jackson,"1,160",Wisconsin,"50,097",927792.1
Jefferson,"1,737",Wisconsin,"55,023",2508634
Juneau,"1,502",Wisconsin,"46,696",1993392
Kenosha,"1,155",Wisconsin,"58,255",839931.6
Kewaunee,"1,417",Wisconsin,"57,770",85251.66
LaCrosse,"1,525",Wisconsin,"60,463",1954103
Lafayette,"1,587",Wisconsin,"52,048",227485
Langlade,"1,238",Wisconsin,"50,852",142661.9
Lincoln,"1,228",Wisconsin,"53,038",12421.27
Manitowoc,"1,212",Wisconsin,"54,592",235153.8
Marathon,"1,087",Wisconsin,"59,949",789857.2
Marinette,"1,517",Wisconsin,"52,260",237979.9
Marquette,"1,516",Wisconsin,"49,041",199402.5
Menominee,"1,677",Wisconsin,"41,435",0
Milwaukee,"1,938",Wisconsin,"56,188",5026784
Monroe,"1,480",Wisconsin,"50,008",1605395
Oconto,"1,517",Wisconsin,"53,823",140478.6
Oneida,"1,287",Wisconsin,"56,013",30480.48
Outagamie,"1,693",Wisconsin,"60,352",322165.8
Ozaukee,"1,469",Wisconsin,"99,817",430257.7
Pepin,"1,494",Wisconsin,"60,146",409207.2
Pierce,"1,506",Wisconsin,"58,338",53978.73
Polk,"1,506",Wisconsin,"54,302",72350.19
Portage,"1,874",Wisconsin,"54,375",266691.2
Price,"1,130",Wisconsin,"51,846",6879.457
Racine,"1,977",Wisconsin,"57,574",893655.9
Richland,"1,515",Wisconsin,"51,382",776503.4
Rock,"2,189",Wisconsin,"52,517",510095.1
Rusk,"1,111",Wisconsin,"52,712",53038.59
Sauk,"1,498",Wisconsin,"67,477",138356
Sawyer,"1,251",Wisconsin,"62,052",1491280
Shawano,"1,771",Wisconsin,"50,990",27713.44
Sheboygan,"1,089",Wisconsin,"50,444",277229.3
St.Croix,"1,506",Wisconsin,"60,359",1074371
Taylor,"1,087",Wisconsin,"50,045",33987.1
Trempealeau,"1,414",Wisconsin,"51,281",2197701
Vernon,"1,518",Wisconsin,"50,622",2991202
Vilas,"1,287",Wisconsin,"59,807",4017.522
Walworth,"1,854",Wisconsin,"62,828",451796.7
Washburn,"1,377",Wisconsin,"55,362",14447.51
Washington,"1,372",Wisconsin,"68,705",310771
Waukesha,"1,816",Wisconsin,"87,582",1903762
Waupaca,"2,373",Wisconsin,"54,632",116475.6
Waushara,"1,576",Wisconsin,"46,697",146562.3
Winnebago,"1,312",Wisconsin,"56,878",1452899
Wood,"1,087",Wisconsin,"53,162",726572
